"individual","trait","trait_id","population"
129,-1.33328869244489,1,3
130,-0.970080656513813,1,3
131,-1.00777443693173,1,3
132,-1.2025558933367,1,3
133,-2.21718550882922,1,3
134,-1.71317906176277,1,3
135,-1.67629310433731,1,3
136,-1.02211631101051,1,3
137,-1.02536577798383,1,3
138,-1.60193625153265,1,3
139,-0.919668721590516,1,3
140,-0.709528462940119,1,3
141,-1.30499297923903,1,3
142,-0.901597467213361,1,3
143,-1.35960977993099,1,3
144,-2.03648036430272,1,3
145,-0.927111714351617,1,3
146,-1.475753664382,1,3
147,-1.92542174194083,1,3
148,-1.3391890763916,1,3
149,-1.40887714722946,1,3
150,-0.974380229733312,1,3
151,-1.38043126879703,1,4
152,-0.62640946162388,1,4
153,-0.740473923031394,1,4
154,-0.858980357609877,1,4
155,-0.953688499808068,1,4
156,-0.492034447469143,1,4
157,-0.452085567916471,1,4
158,-1.19559401927339,1,4
159,-0.967743698949234,1,4
160,-0.874073390986368,1,4
161,-1.37683799270365,1,4
162,-1.04063292520546,1,4
163,-0.411911613086453,1,4
164,-0.619171198886718,1,4
165,-0.322116860328089,1,4
166,-0.671373986903475,1,4
167,-0.718458977131713,1,4
168,-1.3151507261539,1,4
169,-0.598001030925612,1,4
170,-0.635339401772116,1,4
171,-1.85107211063122,1,4
172,-1.40045750639407,1,4
173,-1.57209715959281,1,4
174,-0.479213475235572,1,4
175,-1.8901720135564,1,4
176,-0.648648021873173,1,4
177,-1.43110360448657,1,4
178,-1.85698037782295,1,4
179,-1.50479327620485,1,4
180,-1.64687836880882,1,4
181,-0.798156929726302,1,4
182,-1.00432394770803,1,4
183,-0.708164399629653,1,4
184,-0.0678192077799178,1,4
185,-1.07745464887011,1,4
186,-0.796553195621761,1,4
187,-1.22804603818763,1,4
188,-0.312971000734287,1,4
189,-0.498961152890013,1,4
190,-0.533355517377119,1,4
191,-1.13410847234426,1,4
192,-0.412826139818428,1,4
193,-0.36123747675174,1,4
194,-0.920113237978499,1,4
195,-0.621106614824903,1,4
196,-0.55834438477789,1,4
197,-1.09678808289,1,4
198,-1.52501159848985,1,4
199,-0.731839372176413,1,4
200,-1.41853249439597,1,4
201,-1.39146478323202,1,5
202,-0.628970808386065,1,5
203,-1.38358404609103,1,5
204,-1.50655652706728,1,5
205,-0.885455347987169,1,5
206,-1.04816504447221,1,5
207,-0.887393869139456,1,5
208,-1.2086375007486,1,5
209,-0.147987022541019,1,5
210,-1.08077554600589,1,5
211,-1.32331899037178,1,5
212,-0.965578979915859,1,5
213,-1.66223435894709,1,5
214,-1.11244109221464,1,5
215,-1.01985819206945,1,5
216,-1.43314675422062,1,5
217,-0.7910774232786,1,5
218,-1.07047961998727,1,5
219,-0.603408484268088,1,5
220,-0.195931580014615,1,5
221,-0.895525505372364,1,5
222,-0.76784946359397,1,5
223,-0.736336847226351,1,5
224,-0.215428009689955,1,5
225,-1.1207533281866,1,5
226,-1.80979194688561,1,5
227,-0.982046640920802,1,5
228,-1.32555585357563,1,5
229,-0.294413430855898,1,5
230,-0.442940489016701,1,5
231,-1.30514360812341,1,5
232,-0.950517457843085,1,5
233,-0.0929234825000781,1,5
234,-0.567265250911162,1,5
235,-0.459230922270583,1,5
236,-1.02797436437687,1,5
237,-0.825007851516217,1,5
238,-0.52009115574921,1,5
239,-0.960721479768623,1,5
240,-0.875639145845221,1,5
241,-1.31613970117825,1,5
242,-1.11895119592779,1,5
243,-1.67553290326778,1,5
244,-1.86766235298247,1,5
245,-1.45638858351423,1,5
246,-1.0635330175724,1,5
247,-1.26739156214936,1,5
248,-1.284846186068,1,5
249,-0.817032078823442,1,5
250,-1.52742647457521,1,5
251,-0.972145123243281,1,6
252,-0.830940842992163,1,6
253,-1.01728192466661,1,6
254,-0.917943044737119,1,6
255,-0.70406918995979,1,6
256,-0.8332227549652,1,6
257,-0.625174059857007,1,6
258,-1.56159236954816,1,6
259,0.270375790961058,1,6
260,-0.532200194995173,1,6
261,-1.26480298182989,1,6
262,-1.43527437865925,1,6
